date;mmm yy;week no;day_type
01 May 2022;01 May 2022;W 19;weekend
02 May 2022;01 May 2022;W 19;weekeday
03 May 2022;01 May 2022;W 19;weekeday
04 May 2022;01 May 2022;W 19;weekeday
05 May 2022;01 May 2022;W 19;weekeday
06 May 2022;01 May 2022;W 19;weekeday
07 May 2022;01 May 2022;W 19;weekend
08 May 2022;01 May 2022;W 20;weekend
09 May 2022;01 May 2022;W 20;weekeday
10 May 2022;01 May 2022;W 20;weekeday
11 May 2022;01 May 2022;W 20;weekeday
12 May 2022;01 May 2022;W 20;weekeday
13 May 2022;01 May 2022;W 20;weekeday
14 May 2022;01 May 2022;W 20;weekend
15 May 2022;01 May 2022;W 21;weekend
16 May 2022;01 May 2022;W 21;weekeday
17 May 2022;01 May 2022;W 21;weekeday
18 May 2022;01 May 2022;W 21;weekeday
19 May 2022;01 May 2022;W 21;weekeday
20 May 2022;01 May 2022;W 21;weekeday
21 May 2022;01 May 2022;W 21;weekend
22 May 2022;01 May 2022;W 22;weekend
23 May 2022;01 May 2022;W 22;weekeday
24 May 2022;01 May 2022;W 22;weekeday
25 May 2022;01 May 2022;W 22;weekeday
26 May 2022;01 May 2022;W 22;weekeday
27 May 2022;01 May 2022;W 22;weekeday
28 May 2022;01 May 2022;W 22;weekend
29 May 2022;01 May 2022;W 23;weekend
30 May 2022;01 May 2022;W 23;weekeday
31 May 2022;01 May 2022;W 23;weekeday
01 June 2022;01 June 2022;W 23;weekeday
02 June 2022;01 June 2022;W 23;weekeday
03 June 2022;01 June 2022;W 23;weekeday
04 June 2022;01 June 2022;W 23;weekend
05 June 2022;01 June 2022;W 24;weekend
06 June 2022;01 June 2022;W 24;weekeday
07 June 2022;01 June 2022;W 24;weekeday
08 June 2022;01 June 2022;W 24;weekeday
09 June 2022;01 June 2022;W 24;weekeday
10 June 2022;01 June 2022;W 24;weekeday
11 June 2022;01 June 2022;W 24;weekend
12 June 2022;01 June 2022;W 25;weekend
13 June 2022;01 June 2022;W 25;weekeday
14 June 2022;01 June 2022;W 25;weekeday
15 June 2022;01 June 2022;W 25;weekeday
16 June 2022;01 June 2022;W 25;weekeday
17 June 2022;01 June 2022;W 25;weekeday
18 June 2022;01 June 2022;W 25;weekend
19 June 2022;01 June 2022;W 26;weekend
20 June 2022;01 June 2022;W 26;weekeday
21 June 2022;01 June 2022;W 26;weekeday
22 June 2022;01 June 2022;W 26;weekeday
23 June 2022;01 June 2022;W 26;weekeday
24 June 2022;01 June 2022;W 26;weekeday
25 June 2022;01 June 2022;W 26;weekend
26 June 2022;01 June 2022;W 27;weekend
27 June 2022;01 June 2022;W 27;weekeday
28 June 2022;01 June 2022;W 27;weekeday
29 June 2022;01 June 2022;W 27;weekeday
30 June 2022;01 June 2022;W 27;weekeday
01 July 2022;01 July 2022;W 27;weekeday
02 July 2022;01 July 2022;W 27;weekend
03 July 2022;01 July 2022;W 28;weekend
04 July 2022;01 July 2022;W 28;weekeday
05 July 2022;01 July 2022;W 28;weekeday
06 July 2022;01 July 2022;W 28;weekeday
07 July 2022;01 July 2022;W 28;weekeday
08 July 2022;01 July 2022;W 28;weekeday
09 July 2022;01 July 2022;W 28;weekend
10 July 2022;01 July 2022;W 29;weekend
11 July 2022;01 July 2022;W 29;weekeday
12 July 2022;01 July 2022;W 29;weekeday
13 July 2022;01 July 2022;W 29;weekeday
14 July 2022;01 July 2022;W 29;weekeday
15 July 2022;01 July 2022;W 29;weekeday
16 July 2022;01 July 2022;W 29;weekend
17 July 2022;01 July 2022;W 30;weekend
18 July 2022;01 July 2022;W 30;weekeday
19 July 2022;01 July 2022;W 30;weekeday
20 July 2022;01 July 2022;W 30;weekeday
21 July 2022;01 July 2022;W 30;weekeday
22 July 2022;01 July 2022;W 30;weekeday
23 July 2022;01 July 2022;W 30;weekend
24 July 2022;01 July 2022;W 31;weekend
25 July 2022;01 July 2022;W 31;weekeday
26 July 2022;01 July 2022;W 31;weekeday
27 July 2022;01 July 2022;W 31;weekeday
28 July 2022;01 July 2022;W 31;weekeday
29 July 2022;01 July 2022;W 31;weekeday
30 July 2022;01 July 2022;W 31;weekend
31 July 2022;01 July 2022;W 32;weekend
